elemen,indikator,defenisi,nilai
Kelautan_Perikanan,6) Jumlah Produksi Ikan Gabus (Ton),,39.9
Kelautan_Perikanan,7) Jumlah Produksi Ikan Gurami (Ton),,93.7
Kelautan_Perikanan,8) Jumlah Produksi Ikan Betok (Ton),,64.8
Kelautan_Perikanan,9) Jumlah Produksi Ikan Tawar Lainnya (Ton),,33.2
Kelautan_Perikanan,1) Ikan Tapah (Ton),,14.3
Kelautan_Perikanan,2) Ikan Selais (Ton),,49.4
Kelautan_Perikanan,10) Nilai Produksi Usaha Keramba / Siring (Juta),,42.7
Kelautan_Perikanan,5) Sawah/Mina padi,,36.8
Kelautan_Perikanan,1) Luas Areal (Ha),,55.9
Kelautan_Perikanan,2) Jumlah Sawah (Petak),,28.3
Kelautan_Perikanan,3) Jumlah Produksi Ikan Mas (Ton),,64.8
Kelautan_Perikanan,4) Jumlah Produksi Ikan Nila (Ton),,62
Kelautan_Perikanan,5) Jumlah Produksi Ikan Hias (Ton),,80
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tawar Lainnya (Ton),,19.2
Kelautan_Perikanan,7) Nilai Produksi Usaha Sawah/ Mina Padi (Juta),,77.2
Kelautan_Perikanan,6) Jaring Apung,,79.8
Kelautan_Perikanan,1) Luas Areal (Ha),,14.9
Kelautan_Perikanan,2) Jumlah Jaring Apung (Unit),,82.2
Kelautan_Perikanan,3) Jumlah Produksi Ikan Kerapu Lumpur (Ton),,47.9
Kelautan_Perikanan,4) Jumlah Produksi Ikan Kakap Putih (Ton),,92.4
Kelautan_Perikanan,5) Jumlah Produksi Ikan Kakap Merah (Ton),,50.5
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tawar Lainnya (Ton),,65
Kelautan_Perikanan,7) Nilai Produksi Usaha Jaring Apung (Juta),,90.2
Kelautan_Perikanan,7) Penangkapan ikan Perairan Umum,,72
Kelautan_Perikanan,1) Luas Areal (Ha),,24
Kelautan_Perikanan,"2) Produksi (Rawa, Danau, Sungai dll) (Ton)",,63
Kelautan_Perikanan,"3) Nilai Produksi (Rawa, Danau, Sungai dll) (Juta)",,65.8
Kelautan_Perikanan,4) Perusahaan Pengolahan Perikanan Air Tawar,,16.8
Kelautan_Perikanan,1) Jumlah Perusahaan (Unit),PERMEN 54,53.5
Kelautan_Perikanan,2) Omset Produksi (Juta),,12
Kelautan_Perikanan,5) Perusahaan Pengolahan Perikanan Air Laut,,64.8
Kelautan_Perikanan,1) Jumlah Perusahaan (Unit),PERMEN 54,53.6
Kelautan_Perikanan,2) Omset Produksi (Juta),,90.2
Kelautan_Perikanan,6) Balai Benih Ikan (BBI),,96.2
Kelautan_Perikanan,1) Jumlah Balai Benih Ikan (BBI) (Unit),,73.1
Kelautan_Perikanan,2) Produksi Usaha Pembenihan (Juta),,40.5
Kelautan_Perikanan,3) Nilai Produksi Usaha Pembenihan (Juta),,16.3
Kelautan_Perikanan,7) Unit Pembenihan Rakyat (UPR),,7.1
Kelautan_Perikanan,1) Jumlah Unit Pembenihan Rakyat (UPR) (Unit),,42.4
Kelautan_Perikanan,2) Produksi Usaha Pembenihan (Juta),,39.7
Kelautan_Perikanan,3) Nilai Produksi Usaha Pembenihan (Juta),,30.2
Kelautan_Perikanan,8) Jumlah produksi ikan (Ton),,20.5
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,69.5
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,38.2
Kelautan_Perikanan,9) Target Daerah Produksi Ikan (Ton),,91.2
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,66.9
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,96.1
Kelautan_Perikanan,10) Jumlah Konsumsi Ikan (Ton),,89.9
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,36.7
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,91.8
Kelautan_Perikanan,11) Target Daerah konsumsi Ikan (Ton),,12.9
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,86
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,18.6
Kelautan_Perikanan,2) Kelompok Sumber Daya Sosial,,11.2
Kelautan_Perikanan,3) Kelompok Usaha Bidang Perikanan,,40.2
Kelautan_Perikanan,1) Kelompok Usaha Bersama,kelompok usaha perikanan yang beranggotakan nelayan,0.2
Kelautan_Perikanan,2) Kelompok Pengolahan dan Pemasaran Perikanan,kolompok pengolah dan memasarkan produk perikanan,92.5
Kelautan_Perikanan,1) Kontak Tani Nelayan Andalan (Kelompok),,93.9
Kelautan_Perikanan,2) Karang Taruna (Kelompok),,43.7
Kelautan_Perikanan,3) Kelompok Nelayan (Kelompok),PERMEN 54,15.8
Kelautan_Perikanan,4) Jumlah kelompok nelayan yang mendapat bantuan Pemda (Kelompok),PERMEN 54,55.5
Kelautan_Perikanan,4) Jumlah Produksi Ikan Hasil Kelompok Nelayan (Ton),PERMEN 54,65.7
Kelautan_Perikanan,1) Jumlah Kasus Pencurian Ikan (Kasus),,97
Kelautan_Perikanan,2) Jumlah Kapal Pencuri Ikan yang disita (Buah),,10.3
Kelautan_Perikanan,3) Jumlah Lokasi Pencurian Ikan (Lokasi),,47.2
Kelautan_Perikanan,5) Laut 12 Mil dari Darat(Km2),PERMEN 54,83.1
Kelautan_Perikanan,6) Laut Teritorial(Km2),PERMEN 54,73.9
Kelautan_Perikanan,7) Zona Ekonomi Eksklusif(Km2),PERMEN 54,47.7
Kelautan_Perikanan,8) Laut Landasan Kontinen(Km2),PERMEN 54,96
Kelautan_Perikanan,9) Perikanan(Rp Juta),PERMEN 54,79.4
