elemen,indikator,defenisi,nilai
Lingkungan_Hidup,18) Jumlah Pembinaan dan Pengawasan Limbah Domestik di TPA/TPST Regional (kali),,43.3
Lingkungan_Hidup,19) Jumlah izin pengelolaan sampah(Buah),,71.2
Lingkungan_Hidup,20) Jumlah Timbulan Sampah(Buah),,51.5
Lingkungan_Hidup,2) Kerusakan Lingkungan Hidup *,,11.5
Lingkungan_Hidup,1) Intrusi Air Laut (Ha),,2.5
Lingkungan_Hidup,2) Abrasi Pantai (Ha),,8.3
Lingkungan_Hidup,3) Reklamasi Batu Bara (Ha),,53.1
Lingkungan_Hidup,4) Erosi (Ha),,41.3
Lingkungan_Hidup,5) Banjir (Ha),,40.2
Lingkungan_Hidup,6) Gempa Bumi (Ha),,79.5
Lingkungan_Hidup,7) Tsunami (Ha),,11.9
Lingkungan_Hidup,8) Badai (Ha),,61.6
Lingkungan_Hidup,9) Kawasan Hutan **(Ha),,91.4
Lingkungan_Hidup,1) Kebakaran Hutan (Ha),,67.7
Lingkungan_Hidup,2) Deforestasi (Penggundulan Hutan) (Ha),,11.7
Lingkungan_Hidup,10) Area Penambangan Liar (Ha),,28.8
Lingkungan_Hidup,11) Kekeringan (Ha),,0.3
Lingkungan_Hidup,12) Lainnya (Ha),,12.9
Lingkungan_Hidup,3) Pelestarian Lingkungan Hidup *,,89.2
Lingkungan_Hidup,1) Peremajaan Terumbu Karang (Ha),,69.4
Lingkungan_Hidup,2) Penanaman Hutan Bakau (Ha),,62.6
Lingkungan_Hidup,3) Reboisasi (Ha),,4.6
Lingkungan_Hidup,4) Penghijauan **(Ha),,85.1
Lingkungan_Hidup,1) Jumlah Penghijauan Wilayah Rawan Longsor dan Sumber Mata Air (Ha),,20.8
Lingkungan_Hidup,2) Jumlah Kasus Lingkungan Yang Diselesaikan Pemda (Kasus),,63.6
Lingkungan_Hidup,3) Jumlah Kasus Lingkungan Yang Ada (Kasus),,55.3
Lingkungan_Hidup,5) Rehabilitasi Hutan dan Lahan Kritis (Ha),,41.9
Lingkungan_Hidup,6) Penambangan Liar Yang Ditertibkan (Ha),,21.2
Lingkungan_Hidup,4) Perubahan Iklim *,,10.7
Lingkungan_Hidup,1) Rencana Aksi Daerah Penurunan Emisi GRK (Pergub nomor),,12.9
Lingkungan_Hidup,2) Rencana Aksi Daerah Adaptasi Perubahan Iklim,,15.9
Lingkungan_Hidup,3) Target Penurunan Emisi GRK sampai dengan tahun 2020(Prosentase %),,23.2
Lingkungan_Hidup,4) Target Penurunan Emisi GRK sampai dengan tahun 2020(%),,53
Lingkungan_Hidup,5) Target Penurunan Emisi GRK per tahun(Prosentase %),,70.7
Lingkungan_Hidup,6) Target Penurunan Emisi GRK per tahun(%),,49.5
Lingkungan_Hidup,5) Sarana pengendalian Lingkungan Hidup *,,29.7
Lingkungan_Hidup,1) Laboratorium penelitian lingkungan (Unit),,99
Lingkungan_Hidup,2) Pengumpul limbah B3(Unit),,31
Lingkungan_Hidup,3) Penyimpanan sementara limbah B3(Unit),,5.1
Lingkungan_Hidup,4) Pusat Evakuasi Bencana (Unit),,9.7
Lingkungan_Hidup,5) Sarana monitoring polusi udara (Unit),,71.7
