elemen,indikator,defenisi,nilai
Perempuan_Anak,1) Jumlah Kabupaten/Kota menuju layak anak (Kab/Kota),,30
Perempuan_Anak,2) Jumlah Forum anak yang telah terbentuk (Unit),,44.3
Perempuan_Anak,3) lembaga/forum/media yang memfasilitasi untuk pelaksanaan perlindungan dan pemenuhan hak anak(Unit),,4.5
Perempuan_Anak,1) Bina Keluarga Balita(Unit),,75.4
Perempuan_Anak,2) Pusat Pemulihan Gizi(Unit),,47
Perempuan_Anak,3) Lembaga Advokasi Perlindungan Anak (Unit),,5.8
Perempuan_Anak,4) Pemberdayaan Kesejahteraan Keluarga (PKK) (Unit),,49.6
Perempuan_Anak,5) Posyandu(Unit),,51.4
Perempuan_Anak,6) PAUD(Unit),,51.6
Perempuan_Anak,4) Keterersediaan Data dan Informasi tentang Anak,,61.5
Perempuan_Anak,5) Persentase anak yang telah memiliki akte kelahiran (%),,45.8
Perempuan_Anak,6) jumlah anak HIV/AIDS (Orang),,46.9
Perempuan_Anak,7) Jumlah anak yang berhadapan dengan hukum (Orang),,36.2
Perempuan_Anak,8) jumlah anak berkebutuhan khusus (Orang),,55.8
Perempuan_Anak,9) jumlah anak sebagai pekerja anak (Orang),,35.6
Perempuan_Anak,10) jumlah anak jalanan (Orang),,38.6
Perempuan_Anak,6) Kualitas Keluarga,,70.5
Perempuan_Anak,1) jumlah kebijakan yang terkait dengan peningkatan keluarga (Buah),,39
Perempuan_Anak,2) jumlah lembaga penyedia layanan keluarga(Unit),,12.1
Perempuan_Anak,3) jumlah pengunjung yang terlayani pada pusat layanan konseling kelurga dalam setahun(Orang),,18.6
Perempuan_Anak,7) Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang (TPPO),,72.7
Perempuan_Anak,1) sudah terbentuk Gugus Tugas TPPO,,46.3
Perempuan_Anak,2) sudah terbentuk struktur kelembagaan P2TP2A,,61.7
Perempuan_Anak,"3) lembaga layanan lainnya untuk perempuan dan anak korban kekerasan, selain Pusat Pelayanan Terpadu Pe",,11.1
Perempuan_Anak,1) Unit Pelayanan Perempuan dan Anak (UPPA)(Unit),,10.2
Perempuan_Anak,2) Pusat Krisis Terpadu (PKT) (Unit),,91.1
Perempuan_Anak,3) Women Crisis Center (WCC) (Unit),,35.3
Perempuan_Anak,4) Rumah Perlindungan Trauma Center (RPTC) (Unit),,4.2
Perempuan_Anak,5) Satgas Perlindungan Perempuan dan Anak (Unit),,35.3
Perempuan_Anak,6) Satgas Perlindungan TKI Bermasalah (Unit),,95.3
Perempuan_Anak,7) UPT Dinas Sosial (Unit),,4.6
Perempuan_Anak,4) jumlah tenaga yang terlatih untuk layanan perempuan dan anak korban kekerasan(Orang),,67
Perempuan_Anak,1) Tenaga Pengaduan(Orang),,24.8
Perempuan_Anak,"2) Tenaga Rehabilitasi Sosial (psikolog, konselor, pekerja sosial, rohaniwan)(Orang)",,7.2
Perempuan_Anak,3) Tenaga Kesehatan(Orang),,62.8
Perempuan_Anak,4) Aparat Penegak Hukum(Orang),,93
Perempuan_Anak,5) Tenaga Reintegrasi(Orang),,80.9
Perempuan_Anak,5) ketersediaan data tentang perempuan korban kekerasan,,23.3
Perempuan_Anak,6) jumlah laporan pengaduan perempuan korban kekerasan yang diterima oleh Gugus Tugas TPPO,,43.9
Perempuan_Anak,7) jumlah laporan pengaduan perempuan korban kekerasan yang sudah ditindaklanjuti,PERMEN 54,27.8
Perempuan_Anak,8) ketersediaan data tentang anak korban kekerasan,,24.7
Perempuan_Anak,9) jumlah laporan pengaduan anak korban kekerasan yang sudah ditindaklanjuti,PERMEN 54,43.4
Perempuan_Anak,10) Jumlah Tindak Lanjut pelaporan bulanan terkait TPPO ke Pemerintah Pusat (Kemendagri),,45.9
Perempuan_Anak,11) Jumlah Tindak Lanjut pelaporan bulanan terkait TPPO ke Pemerintah Pusat (kementerian pemberdayaan pe,,90.8
Perempuan_Anak,12) Kabupaten/kota yang menyampaikan laporan bulanan terkait TPPO ke Provinsi(Kab/Kota),,90.7
