elemen,indikator,defenisi,nilai
Pemuda_Olah_Raga,3) SAKA(Lembaga),,81.2
Pemuda_Olah_Raga,4) Gudep(Lembaga),,87.6
Pemuda_Olah_Raga,5) Gudar(Orang),,10.3
Pemuda_Olah_Raga,6) Sako(Orang),,91.5
Pemuda_Olah_Raga,7) Jambore Pramuka(Orang),,85
Pemuda_Olah_Raga,3) Jumlah kejuaraan/kompetisi olahraga pelajar dan olahraga tetap,,74.7
Pemuda_Olah_Raga,1) Kejuaraan tetap,,68.3
Pemuda_Olah_Raga,1) Invitasi olahraga tradisional(Cabor),,3.9
Pemuda_Olah_Raga,2) Festifal Olahraga tradisional(Cabor),,9.7
Pemuda_Olah_Raga,3) SKJ(Cabor),,85.8
Pemuda_Olah_Raga,4) Kejurda Cabor(Cabor),,30.2
Pemuda_Olah_Raga,5) Pra PORDA(Cabor),,7
Pemuda_Olah_Raga,6) PORDA(Cabor),,34
Pemuda_Olah_Raga,"7) Tenaga Pelatih, wasit, dan juri yang terlibat(Orang)",,41.2
Pemuda_Olah_Raga,8) Tenaga keolahragaan lain yang terlibat(Orang),,48.7
Pemuda_Olah_Raga,9) Prasarana yang digunakan (Unit),,25
Pemuda_Olah_Raga,10) Sarana yang digunakan(Unit),,1.2
Pemuda_Olah_Raga,4) Jumlah kejuaraan/kompetisi olahraga tetap nasional yang diikuti,,61.2
Pemuda_Olah_Raga,1) Kejuaraan Olahraga pelajar,,0
Pemuda_Olah_Raga,1) POPDA(Cabor),,48.5
Pemuda_Olah_Raga,2) Kejurda(Cabor),,72.2
Pemuda_Olah_Raga,3) Peparpeda(Cabor),,60.1
Pemuda_Olah_Raga,4) Event Club olahraga pelajar(Cabor),,61.5
Pemuda_Olah_Raga,"5) Tenaga Pelatih, wasit, dan juri yang terlibat(Orang)",,28.9
Pemuda_Olah_Raga,6) Tenaga keolahragaan lain yang terlibat(Orang),,33.7
Pemuda_Olah_Raga,7) Prasarana yang digunakan(Unit),,23.4
Pemuda_Olah_Raga,8) Sarana yang digunakan(Unit),,21
Pemuda_Olah_Raga,2) Kejuaraan tetap olaharaga Nasional,,39.3
Pemuda_Olah_Raga,1) POPNAS(Cabor),,67
Pemuda_Olah_Raga,2) Kejurnas antar PPLP(Cabor),,21.4
Pemuda_Olah_Raga,3) SKJ Nasional(Cabor),,80
Pemuda_Olah_Raga,4) Peparpenas(Cabor),,44.8
Pemuda_Olah_Raga,5) Invitasi Olahraga Tradisonal(Cabor),,25.2
Pemuda_Olah_Raga,6) Festival Olahraga Tradisional(Cabor),,11.6
Pemuda_Olah_Raga,7) POPWIL(Cabor),,89.1
Pemuda_Olah_Raga,8) Kejurnas Cabor(Cabor),,71.5
Pemuda_Olah_Raga,"9) Tenaga Pelatih, wasit, dan juri yang terlibat(Orang)",,95.2
Pemuda_Olah_Raga,10) Tenaga keolahragaan lain yang terlibat(Orang),,44
Pemuda_Olah_Raga,11) Prasarana yang digunakan(Unit),,63.1
Pemuda_Olah_Raga,12) Sarana yang digunakan(Unit),,88.9
Pemuda_Olah_Raga,13) Extreme Sport(Orang),,60.7
Pemuda_Olah_Raga,14) FORNAS (Festival Olahraga Rekreasi nasional)(Orang),,81.9
Pemuda_Olah_Raga,15) liga Santri Nasional(Orang),,54.5
Pemuda_Olah_Raga,16) Liga Pendidikan Indonesia (LPI)(Orang),,74.3
Pemuda_Olah_Raga,17) Liga Sepakbola Pelajar U-14 (piala Menpora)(Klub),,47.7
Pemuda_Olah_Raga,18) Pekan Olahraga Pondok Pesantren (POSPENAS)(Orang),,74.2
