elemen,indikator,defenisi,nilai
PU_Tata_Ruang,1) Jumlah Rumah Tangga Menggunakan Sumur Terlindungi(Rumah Tangga),"SPAM bukan jaringan perpipaan (sumur, penangkap mata air, dsb) terlindungi berarti SPAM yang dibangun dengan mengacu pada ketentuan teknis yang berlaku dan melalui ataupun tanpa proses pengolahan serta memenuhi persyaratan kualitas air minum sesuai persyaratan kualitas berdasarkan peraturan menteri yang menyelenggarakan urusan pemerintahan di bidang kesehatan",54.4
PU_Tata_Ruang,2) Jumlah Rumah Tangga Menggunakan Mata Air Terlindungi(Rumah Tangga),"SPAM bukan jaringan perpipaan (sumur, penangkap mata air, dsb) terlindungi berarti SPAM yang dibangun dengan mengacu pada ketentuan teknis yang berlaku dan melalui ataupun tanpa proses pengolahan serta memenuhi persyaratan kualitas air minum sesuai persyaratan kualitas berdasarkan peraturan menteri yang menyelenggarakan urusan pemerintahan di bidang kesehatan",40.5
PU_Tata_Ruang,3) Jumlah Rumah Tangga Menggunakan Hidran Umum dan Keran Umum(Rumah Tangga),,42.2
PU_Tata_Ruang,4) Jumlah Rumah Tangga yang Telah Memperbaiki/Meningkatkan Mutu/Kualitas Sumber Air Minumnya dengan Ini,,36
PU_Tata_Ruang,5) Jumlah Rumah Tangga yang Sumber Airnya dipantau Mutu/Kualitasnya(Rumah Tangga),,26.8
PU_Tata_Ruang,10) Sistem Penyediaan Air Minum (SPAM) di Wilayah Kab./Kota *,,71.3
PU_Tata_Ruang,1) Jumlah Desa yang Mengalami Sumber Airnya Kering (Rawan Air)(Desa),,48.5
PU_Tata_Ruang,2) Jumlah Desa yang Telah Memiliki Penyediaan Air Melalui Perpipaan (SPAM)(Desa),,45.2
PU_Tata_Ruang,11) Dana APBD Kab./Kota untuk SPAM *,,51.2
PU_Tata_Ruang,1) Jumlah Dana Tahun Berjalan untuk PDAM/UPTD dalam Penyertaan Modal(Rupiah),,63
PU_Tata_Ruang,2) Jumlah Dana APBD Kab./Kota untuk Membangun SPAM di Desa/Kelurahan(Rupiah),,36.9
PU_Tata_Ruang,12) Sampah *,,69.2
PU_Tata_Ruang,1) Sistem Penanganan Persampahan Skala Regional(KK),,14.7
PU_Tata_Ruang,2) Sistem Penanganan Persampahan Skala Kota(KK),,22
PU_Tata_Ruang,3) Sistem Penanganan Persampahan Skala Kawasan(KK),,62.5
PU_Tata_Ruang,4) Sistem Penanganan Persampahan Skala Khusus(KK),,64.3
PU_Tata_Ruang,13) Penyediaan fasilitas pengelolaan air limbah domestik pada sistem pengelolaan air limbah *,,10.4
PU_Tata_Ruang,1) Sistem Pengolahan Air Limbah Skala Regional(KK),,62.7
PU_Tata_Ruang,2) Sistem Pengolahan Air Limbah Skala Kota(KK),,46.7
PU_Tata_Ruang,3) Sistem Pengolahan Air Limbah Skala Kawasan(KK),,53
PU_Tata_Ruang,4) Sistem Pengolahan Air Limbah Skala Khusus(KK),,16.6
PU_Tata_Ruang,14) Drainase *,,95
PU_Tata_Ruang,1) Sistem Pengelolaan Drainase Kawasan/Lingkungan(Ha),,92.5
PU_Tata_Ruang,15) Perencanaan infrastruktur permukiman*,Perencanaan infrastruktur permukiman adalah suatu proses perencanaan peningkatan keterpaduan infrastuktur permukiman di kawasan perkotaan dan kawasan perdesaan,72.4
PU_Tata_Ruang,1) Tersusunnya dokumen rencana kawasan permukiman(Tersedia/tidak tersedia),,45.4
PU_Tata_Ruang,2) Luas permukiman yang direncanakan infrastruktur permukiman(Hektar),,0.8
PU_Tata_Ruang,3) Jumlah permukiman yang direncanakan infrastruktur permukiman(Kawasan),,43.2
PU_Tata_Ruang,16) Pembangunan infrastruktur permukiman perkotaan*,Pembangunan infrastruktur permukiman perkotaan adalah proses pelaksanaan konstruksi untuk mewujudkan infrastruktur permukiman sesuai dengan rencana kawasan permukiman di kawasan perkotaan,58.1
PU_Tata_Ruang,1) Luas permukiman perkotaan yang sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Hektar),,95.6
PU_Tata_Ruang,2) Jumlah permukiman perkotaan yang sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Kawasan),,9
PU_Tata_Ruang,3) Luas permukiman perkotaan yang tidak sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Hektar),,11.4
PU_Tata_Ruang,4) Jumlah permukiman perkotaan yang tidak sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Kawas,,77.9
PU_Tata_Ruang,5) Jumlah kepala keluarga pada permukiman perkotaan yang sesuai dengan rencana tata ruang wilayah Kota/,,51.1
PU_Tata_Ruang,6) Jumlah kepala keluarga pada permukiman perkotaan yang tidak sesuai dengan rencana tata ruang wilayah,,27.3
PU_Tata_Ruang,7) Jumlah jiwa pada permukiman perkotaan yang tidak sesuai dengan rencana tata ruang wilayah Kota/Kabup,,76.5
PU_Tata_Ruang,8) Jumlah jiwa pada permukiman perkotaan yang sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(J,,89.3
PU_Tata_Ruang,17) Pemeliharaan infrastruktur permukiman perkotaan*,Pemeliharaan infrastruktur permukiman perkotaan suatu proses untuk menjaga fungsi infrastuktur permukiman yang dapat berfungsi secara baik dan berkelanjutan di kawasan permukiman perkotaan,96.4
PU_Tata_Ruang,1) Luas kawasan permukiman perkotaan terbangun infrastruktur permukiman yang dilaksanakan pemeliharaan(,,47.8
PU_Tata_Ruang,2) Luas kawasan permukiman perkotaan terbangun infrastruktur permukiman yang tidak dilaksanakan pemelih,,2
PU_Tata_Ruang,18) Pembangunan infrastruktur permukiman perdesaan*,Pembangunan infrastruktur permukiman perkotaan adalah proses pelaksanaan konstruksi untuk mewujudkan infrastruktur permukiman sesuai dengan rencana kawasan permukiman di kawasan permukiman perkotaan,26.6
PU_Tata_Ruang,1) Luas permukiman perdesaan yang sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Hektar),,43.3
PU_Tata_Ruang,2) Jumlah permukiman perdesaan yang sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Kawasan),,79.1
PU_Tata_Ruang,3) Luas permukiman perdesaan yang tidak sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Hektar),,62.9
PU_Tata_Ruang,4) Jumlah permukiman perdesaan yang tidak sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(Kawas,,8.7
PU_Tata_Ruang,5) Jumlah kepala keluarga pada permukiman perdesaan yang sesuai dengan rencana tata ruang wilayah Kota/,,90.1
PU_Tata_Ruang,6) Jumlah kepala keluarga pada permukiman perdesaan yang tidak sesuai dengan rencana tata ruang wilayah,,72.7
PU_Tata_Ruang,7) Jumlah jiwa pada permukiman perdesaan yang tidak sesuai dengan rencana tata ruang wilayah Kota/Kabup,,50.1
PU_Tata_Ruang,8) Jumlah jiwa pada permukiman perdesaan yang sesuai dengan rencana tata ruang wilayah Kota/Kabupaten(J,,84.5
PU_Tata_Ruang,19) Pemeliharaan infrastruktur permukiman perdesaan *,Pemeliharaan infrastruktur permukiman perkotaan suatu proses untuk menjaga fungsi infrastuktur permukiman yang dapat berfungsi secara baik dan berkelanjutan di kawasan permukiman perkotaan,64.2
PU_Tata_Ruang,1) Luas kawasan permukiman perdesaan terbangun infrastruktur permukiman yang dilaksanakan pemeliharaan(,,30.5
PU_Tata_Ruang,2) Luas kawasan permukiman perdesaan terbangun infrastruktur permukiman yang dilaksanakan pemeliharaan(,,83.4
PU_Tata_Ruang,20) Pelayanan Izin Mendirikan Bangunan *,,66.7
PU_Tata_Ruang,1) Rata-rata pengajuan IMB per tahun dalam lima tahun terakhir(Unit Bangunan),,76.8
PU_Tata_Ruang,2) Jumlah bangunan gedung yang telah terbit IMB(Unit Bangunan),,35.7
PU_Tata_Ruang,21) Penertiban Sertifikat laik fungsi bangunan gedung *,,62.5
PU_Tata_Ruang,1) Jumlah bangunan ber-IMB yang telah terbit SLF(Unit Bangunan),,82.9
PU_Tata_Ruang,22) Penyelenggaraan penataan bangunan dan lingkungan *,,2.4
PU_Tata_Ruang,1) Penyusunan RTBL (Rencana Tata Bangunan Dan Lingkungan)(Dokumen),Dokumen RTBL yang disahkan Bupati/Walikota,74.6
PU_Tata_Ruang,23) Panjang Jalan Berdasarkan Status/ Kelas*,,64
PU_Tata_Ruang,1) Jalan Nasional (Km),,28.1
PU_Tata_Ruang,2) Jalan Propinsi (Km),,56.3
PU_Tata_Ruang,3) Jalan Kabupaten/Kota (Km),,47.2
PU_Tata_Ruang,4) Jalan Desa/Lokal (Km),,20.4
PU_Tata_Ruang,5) Jalan Tol (Km),,81.8
PU_Tata_Ruang,24) Panjang Jalan Berdasarkan Kondisi *,,81.5
PU_Tata_Ruang,1) Kondisi Baik (Km),,96.8
PU_Tata_Ruang,2) Kondisi Sedang(Km),,32.1
PU_Tata_Ruang,3) Kondisi Rusak Ringan (Km),,31.9
PU_Tata_Ruang,4) Kondisi Rusak Berat (Km),,67.9
PU_Tata_Ruang,29) Jumlah Jembatan di masing2 Status Jalan *,,38.9
PU_Tata_Ruang,1) Jumlah jembatan di jalan Nasional(Jbt),,9.1
PU_Tata_Ruang,2) Jumlah Jembatan di Jalan Propinsi(Jbt),,52.8
PU_Tata_Ruang,3) Jumlah Jembatan di Jalan Kabupaten/Kota(Jbt),,68
PU_Tata_Ruang,4) Jumlah Jembatan di Jalan Desa(Jbt),,80.5
PU_Tata_Ruang,30) Kondisi Jembatan di masing2 Status Jalan*,,89.9
PU_Tata_Ruang,1) Jumlah jembatan dengan Kondisi Baik(Jbt),,70
PU_Tata_Ruang,2) Jumlah Jembatan dengan Kondisi Sedang(Jbt),,18
PU_Tata_Ruang,3) Jumlah Jembatan dengan Kondisi Rusak Ringan(Jbt),,33.7
PU_Tata_Ruang,4) Jumlah Jembatan dengan Kondisi Rusak Berat(Jbt),,79.7
PU_Tata_Ruang,31) Penyelenggaraan pelatihan *,,34.5
PU_Tata_Ruang,1) Pelatihan tenaga ahli konstruksi(Paket),,8.3
PU_Tata_Ruang,2) Pelatihan tenaga terampil konstruksi(Paket),,39.1
PU_Tata_Ruang,32) Sistem informasi jasa konstruksi *,,42.2
PU_Tata_Ruang,1) Penyelenggaran 7 Layanan Informasi Jasa Konstruksi(%),,86.9
PU_Tata_Ruang,33) Penerbitan izin usaha jasa konstruksi *,,61.1
PU_Tata_Ruang,1) Jumlah rata-rata izin usaha jasa konstruksi pertahun dalam lima tahun terakhir(Jumlah IUJK),,77.3
PU_Tata_Ruang,"34) Pengawasan tertib usaha, tertib penyelenggaraan dan tertib pemanfaatan jasa konstruksi. *",,76.9
PU_Tata_Ruang,"1) Penyediaan layanan tertib usaha, tertib penyelengaraan dan tertib pemanfaatan jasa konstruksi.(%)",,71.6
PU_Tata_Ruang,1) Pola Ruang,,8.8
PU_Tata_Ruang,1) Luas Kawasan Lindung **(Ha ),,15.5
PU_Tata_Ruang,1) Hutan(Ha),,74.8
PU_Tata_Ruang,2) Bukan Hutan(Ha),,33.9
PU_Tata_Ruang,2) Kawasan Permukiman,,23
PU_Tata_Ruang,1) Luas Kawasan Permukiman(Ha),,76.8
PU_Tata_Ruang,2) Jumlah Kawasan Permukiman Penduduk(Kawasan),,91.2
PU_Tata_Ruang,3) Jumlah Seluruh Kawasan Permukiman Penduduk yang Belum Dilalui Kendaraan Roda 4(Kawasan),,74.1
PU_Tata_Ruang,3) Luas Kawasan Industri(Ha),,28.1
PU_Tata_Ruang,4) Luas Lahan Produktif(Ha),,90.1
PU_Tata_Ruang,5) Luas Lahan Kritis(Ha),,69
PU_Tata_Ruang,6) Luas Lahan Hutan Rakyat(Ha),,75.3
PU_Tata_Ruang,7) Luas Ruang Terbuka Hijau (RTH)(Ha),,37.8
PU_Tata_Ruang,8) Realisasi RTRW(Ha),,25.9
PU_Tata_Ruang,9) Luas Seluruh Wilayah Budidaya(Ha),,7.5
PU_Tata_Ruang,10) Luas Wilayah Produktif(Ha),,64.6
PU_Tata_Ruang,11) Luas Wilayah Perkotaan(Ha),,24.2
PU_Tata_Ruang,12) Luas Kawasan Peruntukan Hutan Produksi(Ha),,46.7
PU_Tata_Ruang,13) Luas Kawasan Peruntukan Pertanian(Ha),,99
PU_Tata_Ruang,14) Luas Kawasan Peruntukan Perikanan(Ha),,92.6
PU_Tata_Ruang,15) Luas Kawasan Peruntukan Perdagangan dan Pariwisata(Ha),,3.6
PU_Tata_Ruang,16) Luas Kawasan Peruntukan Pertambangan(Ha),,69.4
PU_Tata_Ruang,17) Luas Kawasan Peruntukan Lainnya(Ha),,13.8
PU_Tata_Ruang,2) Struktur Ruang,,49
PU_Tata_Ruang,1) Panjang Jaringan Jalan Bebas Hambatan(Km),,66.4
PU_Tata_Ruang,2) Panjang Jaringan Jalan Nasional(Km),,88.5
PU_Tata_Ruang,3) Panjang Jaringan Jalan Provinsi(Km),,73.3
PU_Tata_Ruang,4) Panjang Jaringan Jalan Kabupaten(Km),,18
PU_Tata_Ruang,5) Panjang Rel Kereta Api(Km),,33
PU_Tata_Ruang,6) Jumlah dan Jenis Bandar Udara(Buah),,17.4
PU_Tata_Ruang,7) Jumlah Kawasan Dermaga dan Pelabuhan Aktif(Buah),,77.2
PU_Tata_Ruang,8) Jumlah Pembangkit Listrik dan Gardu Induk(Buah),,91.5
PU_Tata_Ruang,9) Jumlah Base Transceiver Station (BTS)(Buah),,64.7
PU_Tata_Ruang,10) Luas Daerah Irigasi(Ha),,20.3
PU_Tata_Ruang,3) SDM (Sumber Daya Manusia),,38.3
PU_Tata_Ruang,1) Jumlah SDM dengan Latar Belakang yang Berkaitan dengan Penataan Ruang(Orang),,58.9
PU_Tata_Ruang,2) Jumlah Penyidik Pegawai Negeri Sipil (PPNS) Penataan Ruang(Orang),,92.9
